SpGroup,SciName,CommonName,CommonName2,SpCode,ActivityPattern,RarityClass,HabitatSpec,LocalDensity,SVL_med_cm,SVL_max_cm,SVL_Amburgey,Foraging,Activity,PrimDetMethod,MeanBodyTemp,Diet,Substrate,minBodyTemp,maxBodyTemp,spanBodyTemp,medBodyTemp
Lizard,Anniella stebbinsi,California legless lizard,,ANST,Does not bask in direct sunlight. Tolerance of low temperatures allows activity in cool conditions. Apparently active mostly during the morning and evening when they forage beneath the surface of loose soil or leaf litter which has been warmed by the sun.,,specialist,,13.25,17,14.45,active,cathemeral,board,21.8,arthropods,fossorial,20,23.6,3.6,21.8
Snake,Hypsiglena ochrorhyncha,Coast night snake,,HYOC,"Nocturnal, and also active at dusk and dawn. Can be found under rocks, boards, logs, and other surface objects.",Sparse widespread,generalist,low,30,35,45,,nocturnal,board,,,,,,,
Snake,Diadophis punctatus,Ring-necked snake,,DIPU,"Secretive - usually found under the cover of rocks, wood, bark, boards and other surface debris, but occasionally seen moving on the surface on cloudy days, at dusk, or at night.",Sparse widespread,generalist,low,33.5,41,41.9,,nocturnal,board,,,,,,,
Snake,Thamnophis hammondii,Two-striped garter snake,,THHA,Primarily aquatic. Diurnal. Also active at night and at dusk during hot weather in some areas. Can be active from January to November depending on weather conditions.,Widespread specialist,specialist,high,55.5,72,81.5,ambush,diurnal,transect,,,,,,,
Snake,Rhinocheilus lecontei,Long-nosed snake,,RHLE,"Crepuscular and nocturnal. Occasionallly found out at mid day. Relatively cold-tolerant, especially in the northernmost part of its range.",Sparse widespread,generalist,low,61.5,75,101.5,,nocturnal,board,,,,,,,
Snake,Salvadora hexalepis,Patch-nosed snake,,SAHE,"Active during daylight, even in times of extreme heat. ",Widespread specialist,specialist,high,71.5,87,84,active,diurnal,transect,,,,,,,
Snake,Lampropeltis californiae,California kingsnake,,LACA,"Active during daylight in cooler weather and at night, dawn, and dusk when temperatures are high. ",Common,generalist,high,80.5,111,146,,both,transect,,,,,,,
Snake,Crotalus oreganus helleri,Southern Pacific rattlesnake,,CROR,"Primarily nocturnal and crepuscular during periods of excessive daytime heat, but also active during daylight when the temperature is more moderate. Not active during cooler periods in Winter.",Common,generalist,high,83.5,112,81.3,ambush,both,transect,,,,,,,
Snake,Coluber lateralis,California striped racer,Chaparral whipsnake,COLA,"Diurnal, often seen actively foraging in the daytime with head and forward part of the body held up off the ground searching for prey with its acute vision. ",Common,generalist,high,91,125,114,active,diurnal,transect,,,,,,,
Snake,Coluber flagellum,Red racer,Red coachwhip,COFL,"Active in the daytime. Seen moving quickly even on hot sunny days, but often seen basking on roads in early morning or resting underneath boards or other surface objects.",Widespread specialist,specialist,high,100,138,114.5,active,diurnal,transect,,,,,,,
Snake,Pituophis catenifer,Gopher snake,,PICA,"Active in the daytime, and at night in hot weather, and especially at dusk and dawn. One of the most commonly seen snakes on roads and trails, especially in the spring when males are actively seeking a mate, and in the fall when hatchlings emerge.",Common,generalist,high,110.5,141,177.5,,diurnal,board,,,,,,,
Snake,Crotalus ruber,Red diamond rattlesnake,,CRRU,"Primarily nocturnal and crepuscular during periods of excessive daytime heat, but also active during daylight when the temperature is more moderate or when in the comparatively cooler shaded areas of boulder fields. Not active during cooler periods in Win",Endemic,specialist,high,116.5,160,120.5,ambush,both,transect,,,,,,,
